 Aguascalientes,KIA ALTARIA
 Baja California,KIA INNOVA
 Baja California,KIA FUTURA
 Baja California,KIA VISIÓN
 Baja California Sur,KIA CABOS
 Baja California Sur,KIA BAJA SUR
 Campeche,KIA BAHÍA
 Chiapas,KIA SURESTE
 Chihuahua,KIA JUVENTUD
 Chihuahua,KIA JUÁREZ
 Ciudad de México,KIA MARIANO ESCOBEDO
 Ciudad de México,KIA AEROPUERTO
 Ciudad de México,KIA COAPA
 Ciudad de México,KIA SANTA FE
 Ciudad de México,KIA TLÁHUAC
 Ciudad de México,KIA IZTAPALAPA
 Ciudad de México,KIA DEL VALLE
 Ciudad de México,KIA VALLEJO
 Ciudad de México,KIA SAN JOAQUÍN
 Ciudad de México,KIA PEDREGAL
 Ciudad de México,KIA DIVISIÓN DEL NORTE
 Coahuila,KIA MAX
 Coahuila,KIA LAGUNA
 Coahuila,KIA PAPE
 Colima,KIA LAS BRISAS
 Colima,KIA COLIMÁN
 Durango,KIA GUADIANA
 Estado de México,KIA INTERLOMAS
 Estado de México,KIA CUAUTITLÁN
 Estado de México,KIA METEPEC
 Estado de México,KIA SATÉLITE
 Estado de México,KIA TEXCOCO
 Estado de México,KIA ECATEPEC
 Estado de México,KIA COACALCO
 Estado de México,KIA ESMERALDA
 Estado de México,KIA LOMAS VERDES
 Estado de México,KIA IXTAPALUCA
 Guanajuato,KIA POLIFORUM
 Guanajuato,KIA VÍA ALTA
 Guanajuato,KIA CAMPESTRE
 Guanajuato,KIA CAPITAL
 Guanajuato,KIA VILLAS
 Guanajuato,KIA BAJIO
 Guerrero,KIA DIAMANTE
 Hidalgo,KIA CENTER
 Jalisco,KIA VALLARTA
 Jalisco,KIA GALERÍAS
 Jalisco,KIA PATRIA
 Jalisco,KIA LÓPEZ MATEOS
 Jalisco,KIA GONZALEZ GALLO
 Jalisco,KIA COUNTRY CLUB
 Jalisco,KIA SANTA ANITA
 Michoacan,KIA PARICUTIN
 Michoacan,KIA DEL DUERO
 Michoacan,KIA MIL CUMBRES
 Morelos,KIA PRIMAVERA
 Morelos,KIA MORELOS SUR
 Nuevo Leon,KIA GONZALITOS
 Nuevo Leon,KIA CUMBRES
 Nuevo Leon,KIA SENDERO
 Nuevo Leon,KIA CARRETERA NACIONAL
 Nuevo Leon,KIA VALLE ORIENTE
 Nuevo Leon,KIA LINDA VISTA
 Oaxaca,KIA SALINA CRUZ
 Oaxaca,KIA PLAZA DEL VALLE
 Oaxaca,KIA PUERTO ESCONDIDO
 Puebla ,KIA LOS FUERTES
 Puebla ,KIA SERDÁN
 Puebla ,KIA ANGELOPOLIS
 Puebla ,KIA CHOLULA
 Puebla ,KIA MANANTIAL
 Querétaro,KIA NOVA QRO
 Querétaro,KIA SAN JUAN
 Querétaro,KIA CORREGIDORA
 Quintana Roo,KIA BONAMPAK
 Quintana Roo,KIA PLAYACAR
 San Luis Potosí,KIA LOMAS
 San Luis Potosí,KIA CARRETERA 57
 Sinaloa,KIA PACIFIC
 Sinaloa,KIA COUNTRY
 Sinaloa,KIA AHOME
 Sonora,KIA MORELOS
 Sonora,KIA CAJEME
 Tabasco,KIA RUIZ CORTINES
 Tamaulipas,KIA VICTORIA
 Tamaulipas,KIA AVENIDA
 Tamaulipas,KIA FRONTERA
 Tamaulipas,KIA LAREDO
 Tlaxcala,KIA MALINCHE
 Veracruz ,KIA ANIMAS
 Veracruz ,KIA COATZA
 Veracruz ,KIA BOCA
 Veracruz ,KIA TAJÍN
 Veracruz ,KIA ALTAS MONTAÑAS
 Yucatán,KIA NORTE
 Yucatán,KIA PENÍNSULA
 Zacatecas,KIA BERNARDEZ
 Zacatecas,KIA FRESNILLO
